ÜRÜN NO;DIÞ ÇAP;YÜKSEKLÝK
264;71,4570;5,8730
265;71,4990;5,8370
266;71,4220;5,8380
267;71,3190;5,6750
268;71,4880;5,8270
269;71,5210;5,8110
270;71,4990;5,8690
271;71,5220;5,8130
272;71,4420;5,8610
273;71,4830;5,8290
274;71,4610;5,8470
275;71,5110;5,8150
276;71,3750;5,8910
277;71,5100;5,8400
278;71,3420;5,8540
279;71,5410;5,8210
280;71,3600;5,8110
281;71,4740;5,8460
282;71,5910;5,8730
283;71,4920;5,8280
284;71,4900;5,8420
285;71,3820;5,8260
286;71,5340;5,8270
287;72,7730;5,7850
288;71,5000;5,8100
289;71,5530;5,8370
290;71,4200;5,8360
291;71,5030;5,8550
292;71,4470;5,8830
293;71,4760;5,8140
294;71,4930;5,8370
295;71,5060;5,8750
296;71,5180;5,8400
297;71,4190;5,8150
298;71,4800;5,8740
299;71,5030;5,8560
300;71,3660;5,8620
301;71,5090;5,8120
302;71,5220;5,8340
303;71,4370;5,8310
304;71,3140;5,8210
305;71,5020;5,8070
306;71,4550;5,8550
307;71,3810;5,8750
308;71,4740;5,8670
309;71,4680;5,8180
310;71,4880;5,8720
311;71,4270;5,8510
312;71,4620;5,8140
313;71,3800;5,8160
314;71,3830;5,8220
315;71,4420;5,8440
316;71,5420;5,8170
317;71,4810;5,8150
318;71,5380;5,8820
319;71,4350;5,8000
320;71,4790;5,8300
321;71,4020;5,8800
322;71,5360;5,8110
323;71,5170;5,8140
324;71,5110;5,8310
325;71,5000;5,8280
326;71,4440;5,8530
327;71,4600;5,8600
328;71,3450;5,8000
329;71,5110;5,8340
330;71,4200;5,8470
331;71,4950;5,8360
332;71,4530;5,8700
333;71,3580;5,8590
334;71,4910;5,8480
335;71,4380;5,8340
336;71,4800;5,8180
337;71,5010;5,9240
338;71,4530;5,8460
339;71,4610;5,8090
340;71,4290;5,8350
341;71,4390;5,8810
342;71,3710;5,8580
343;71,4410;5,8370
344;71,4960;5,8080
345;71,4350;5,8550
346;71,4960;5,8540
347;71,5230;5,8450
348;71,4920;5,8900
349;71,3980;5,8400
350;71,5000;5,9070
351;71,3350;5,8140
352;71,4380;5,8590
353;71,6080;5,8760
354;71,4510;5,8320
355;71,5210;5,8170
356;71,6140;5,8310
357;71,3450;5,8320
358;71,5100;5,8340
359;71,5570;5,8670
360;71,4200;5,8270
361;71,4600;5,8230
362;71,3910;5,8880
363;71,5450;5,7900
364;71,2390;5,8030
365;71,4290;5,8640
366;71,5330;5,8440
367;71,4160;5,8350
368;71,4610;5,8730
369;71,3930;5,8350
370;71,4700;5,8210
371;71,3860;5,8590
372;71,4020;5,8280
373;71,3870;5,8400
374;71,4480;5,8270
375;71,5280;5,8590
376;71,5750;5,8240
377;71,5070;5,9680
378;71,4760;5,8570
379;71,4470;5,8690
380;71,4300;5,8510
381;71,5300;5,9070
382;71,4890;5,8950
383;71,5060;5,8140
384;71,5130;5,8620
385;71,3890;5,9510
386;71,4210;5,9160
387;71,4550;5,8330
388;71,4420;5,8630
389;71,4700;5,8640
390;71,5480;5,8300
391;71,5070;5,7960
392;71,4700;5,9000
393;71,4830;5,8290
394;71,4340;5,8980
395;71,5620;5,8310
396;71,4480;5,8740
397;71,4400;5,8550
398;71,4410;5,8470
399;71,4980;5,8420
400;71,4250;5,8200
